Product Name,Size,Milk,Whip,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugar (g),Protein (g),Vitamin A (%DV),Vitamin C (%DV),Calcium (%DV),Iron (%DV),Caffeine (mg),Type
Caffè Mocha,Tall,Nonfat,Whip,354 mL,250,8,5,0.2,25,110,34,3,28,11,20%,0%,30%,25%,95,Espresso
Caffè Mocha,Tall,2%,No Whip,354 mL,230,6,4,0.2,20,115,32,3,26,10,15%,0%,25%,25%,95,Espresso
Caffè Mocha,Tall,2%,Whip,354 mL,290,13,8,0.4,40,120,34,3,28,11,20%,2%,30%,25%,95,Espresso
Caffè Mocha,Tall,Whole,No Whip,354 mL,250,9,6,0.2,25,105,32,3,26,10,10%,0%,25%,25%,95,Espresso
Caffè Mocha,Tall,Whole,Whip,354 mL,310,16,9,0.4,45,110,34,3,28,10,20%,0%,25%,25%,95,Espresso
Caffè Mocha,Tall,Soy,No Whip,354 mL,200,5,1.5,0,0,90,28,4,20,9,10%,0%,25%,35%,95,Espresso
Caffè Mocha,Tall,Soy,Whip,354 mL,260,11,5,0.2,25,95,30,4,22,9,15%,0%,30%,35%,95,Espresso
Caffè Mocha,Tall,Coconut,No Whip,354 mL,190,7,6,0,0,105,29,3,23,3,0%,0%,2%,25%,95,Espresso
Caffè Mocha,Tall,Coconut,Whip,354 mL,250,13,10,0.2,25,110,30,3,25,3,6%,0%,2%,25%,95,Espresso
Caffè Mocha,Grande,Nonfat,No Whip,473 mL,250,2.5,1.5,0,5,125,42,4,34,13,20%,0%,35%,35%,175,Espresso
Caffè Mocha,Grande,Nonfat,Whip,473 mL,320,10,6,0.2,30,135,44,4,36,14,25%,0%,35%,35%,175,Espresso
Caffè Mocha,Grande,2%,No Whip,473 mL,290,8,5,0.2,25,140,42,4,34,13,15%,2%,35%,35%,175,Espresso
Caffè Mocha,Grande,2%,Whip,473 mL,360,15,9,0.5,50,150,44,4,35,13,25%,2%,35%,35%,175,Espresso
Caffè Mocha,Grande,Whole,No Whip,473 mL,330,12,7,0.3,30,130,42,4,34,13,15%,0%,30%,35%,175,Espresso
Caffè Mocha,Grande,Whole,Whip,473 mL,400,19,11,0.5,55,135,44,4,35,13,20%,0%,35%,35%,175,Espresso
Caffè Mocha,Grande,Soy,No Whip,473 mL,260,7,2,0,0,110,37,5,26,11,10%,0%,35%,50%,175,Espresso
Caffè Mocha,Grande,Soy,Whip,473 mL,330,14,6,0.2,25,115,39,5,28,12,20%,0%,35%,50%,175,Espresso
Caffè Mocha,Grande,Coconut,No Whip,473 mL,250,9,8,0,0,130,38,4,30,4,0%,0%,2%,35%,175,Espresso
Caffè Mocha,Grande,Coconut,Whip,473 mL,320,16,12,0.2,25,135,40,4,32,4,8%,0%,2%,35%,175,Espresso
Caffè Mocha,Venti®,Nonfat,No Whip,591 mL,310,3.5,2,0,10,170,54,5,44,17,25%,0%,45%,40%,185,Espresso
Caffè Mocha,Venti®,Nonfat,Whip,591 mL,390,10,6,0.2,35,170,56,5,45,18,30%,0%,45%,40%,185,Espresso
Caffè Mocha,Venti®,2%,No Whip,591 mL,380,11,7,0.3,30,190,53,5,43,17,20%,2%,45%,40%,185,Espresso
Caffè Mocha,Venti®,2%,Whip,591 mL,450,18,11,0.5,55,190,55,5,45,17,30%,2%,45%,40%,185,Espresso
Caffè Mocha,Venti®,Whole,No Whip,591 mL,420,16,9,0.4,40,170,53,5,43,16,20%,0%,40%,40%,185,Espresso
